id;libelle_departement;numero_depot;numero_depot_liste;libelle_liste;no_ordre_liste;sexe;nom;prenom;date_naissance;nuance;profession;personnalite;sortant;sexe_supp;nom_supp;prenom_supp;date_naissance_supp;tour_election
1;Tasty Computers;10131;81149;Locks Avon;39754;M;Borders;Home Loan Account Ohio;2020-07-19;Strategist Buckinghamshire;Concrete bluetooth definition;Incredible Steel Computer;false;tan Creative relationships;bandwidth black;Polarised web-readiness;2020-07-19;Technician Awesome
2;Group Savings Account solutions;13050;61423;aggregate;69664;M;reboot Multi-tiered Functionality;circuit Gorgeous Steel Chicken;2020-07-20;Sports Consultant;Berkshire Program;Berkshire;true;green;Ergonomic;Bedfordshire cross-platform optical;2020-07-20;withdrawal
3;Extensions;30858;91521;Tuna TCP;84326;M;Madagascar Senior Northern Mariana Islands;circuit;2020-07-20;Credit Card Account niches paradigms;invoice Bedfordshire Rwanda;deliverables quantify;false;adapter;Checking Account Cambridgeshire;Taka;2020-07-19;Borders world-class
4;Ergonomic Cotton Bacon Fantastic Plastic Pants;31669;70345;back-end Soap Credit Card Account;34580;M;feed high-level bleeding-edge;Glen neural;2020-07-20;Checking Account;Division end-to-end 24/7;Generic Michigan bifurcated;false;hack THX matrix;connecting;Health Circles;2020-07-19;Vermont Saint Barthelemy fuchsia
5;synthesize;36882;1256;Proactive Credit Card Account Outdoors;95774;F;Berkshire circuit;Markets Fantastic Concrete Computer 24/7;2020-07-19;circuit;engage;calculate interface West Virginia;true;Avon;Cambridgeshire Product brand;scalable;2020-07-19;solid state Interactions
6;Field Tasty protocol;94665;73036;Persistent pink;27444;F;Infrastructure;infrastructures Fish Keyboard;2020-07-20;value-added SSL black;optimizing;sensor;false;encompassing copying front-end;back-end black;Heard Island and McDonald Islands;2020-07-20;Pizza Connecticut experiences
7;bypassing Senior incubate;24340;60774;gold Practical;36988;M;Dale Granite;channels Credit Card Account;2020-07-19;Springs;Steel Lead;National quantify;true;networks repurpose;Forward Baby;Plastic;2020-07-19;Port Iraq index
8;Indiana Money Market Account International;2222;11053;holistic Generic Soft Chips Tugrik;73895;F;Buckinghamshire;Open-source;2020-07-20;Fantastic Steel Car Auto Loan Account incubate;bus;Avon virtual Small;true;quantify throughput;American Samoa;Officer Books;2020-07-20;Borders
9;Summit Uganda Idaho;68049;11655;Fish;93899;F;white;Tonga product Armenian Dram;2020-07-20;AGP Pike;Avon;XSS;false;Sudanese Pound;Books monetize next-generation;target firewall;2020-07-20;Factors Rubber
10;Berkshire ivory supply-chains;19714;74774;Identity Concrete scale;57958;M;matrix;Agent Seamless Corners;2020-07-19;Mobility;CFA Franc BCEAO;Tennessee streamline Corporate;true;cross-platform logistical;bleeding-edge multi-byte;Music RSS;2020-07-19;Frozen value-added synergize
