id;date_export;numero_departement;libelle_departement;no_tour;inscrits;abstentions;abs_on_ins;votants;vot_on_ins;blancs;blancs_on_ins;blancs_on_vot;nuls;nuls_on_ins;nuls_on_vot;exprime;exp_on_ins;exp_on_vot
1;2020-07-19;Jewelery pink Accountability;Metrics action-items Drive;Lake;46407;29395;45738;51318;96720;30981;77245;77832;33795;49860;9608;40369;97209;37483
2;2020-07-19;networks;Swiss Franc Universal;Personal Loan Account;7357;86567;60445;37710;46690;50714;92093;14124;73923;5357;5698;19169;63657;94667
3;2020-07-20;empowering teal;Cambridgeshire Ergonomic Arkansas;Sleek Steel Salad Investor;40855;1087;75050;15688;86122;67320;92725;75550;27863;8926;59518;91638;95133;92172
4;2020-07-20;Handmade;Re-engineered;indigo;94092;66114;74987;3234;70916;6165;54544;22137;26821;47308;71762;55648;70095;69447
5;2020-07-20;systemic;Macao;parse;63284;2116;26835;41358;4926;24092;42102;49283;82849;88256;98908;28152;27772;53963
6;2020-07-20;1080p;Auto Loan Account;multi-byte quantifying;9480;88018;59207;69239;99857;5952;37963;61876;69775;88125;96646;44824;40384;39931
7;2020-07-20;Customer;Plains purple maroon;Small;5564;6452;63989;77334;24346;55463;58087;87319;78548;97144;53847;16372;83220;22298
8;2020-07-20;Concrete;Louisiana card Decentralized;Future Incredible bandwidth;76292;67026;42563;52614;20249;31429;79037;89450;93766;63600;83253;26001;39185;39777
9;2020-07-20;cultivate Engineer Western Sahara;online payment;auxiliary;9055;80112;46661;57346;77400;7950;35051;10389;90626;30584;84185;6121;53396;73443
10;2020-07-20;Denar navigating;Awesome;Incredible;88520;36077;13678;73547;47432;52621;63804;53563;22740;82969;93875;93502;21627;76745
