id;foncandidcod;foncandidlibfem;foncandidlib;foncandidlic;foncandidlicfem
1;compelling;Harbor IB pixel;Drive pink Lead;Bike best-of-breed;executive
2;Views;vortals;SDD Money Market Account;Soap;azure
3;Analyst disintermediate;Forks;Plastic hacking Handcrafted;Ridges;Stream USB Corporate
4;applications Future Strategist;bypassing;pink Configuration Manager;Practical Frozen Bike Bhutan;hacking multi-byte
5;Kids Handcrafted;Concrete pixel hacking;payment customized;Integrated technologies Refined Granite Tuna;Nebraska
6;digital;Administrator Plains;Gorgeous cutting-edge Passage;invoice;Illinois Investor
7;supply-chains National;time-frame;parse needs-based Denar;Cotton;Operations
8;Vision-oriented executive;Checking Account Cambridgeshire Cotton;innovative;Bike magenta;Fantastic Unbranded Towels
9;generate;JSON Personal Loan Account Program;fresh-thinking Facilitator;withdrawal;Metal
10;Plastic;Triple-buffered neural;Re-engineered Unbranded Plastic Fish Plastic;El Salvador Oklahoma;Books Overpass
