id;libelle_departement;numero_depot;numero_depot_liste;libelle_liste;no_ordre_liste;sexe;nom;prenom;date_naissance;nuance;profession;personnalite;sortant;sexe_supp;nom_supp;prenom_supp;date_naissance_supp;is_elu
1;system;43870;39133;invoice Seamless;58702;M;Plains;Oman;2020-07-19;olive;transmitter teal transmitting;Refined Madagascar;false;Front-line architecture hard drive;Metrics;Sudanese Pound;2020-07-19;true
2;COM;36920;94032;CSS cross-platform analyzer;37126;F;Optimization Keyboard;Bedfordshire Soft;2020-07-19;parsing Shoes;Sausages;Awesome web-enabled Associate;false;software navigate;infrastructure Coordinator;Jamaica azure;2020-07-19;true
3;executive logistical Legacy;92359;90702;matrix;31778;M;navigating;Slovenia;2020-07-19;24/365 Nigeria;mint green;Wisconsin;false;Devolved matrix;evolve;bypassing synergize asynchronous;2020-07-20;false
4;Palau;5728;84875;Valleys Communications;86669;F;plum array;Regional Networked generating;2020-07-19;Chief synthesize;Bike Bedfordshire;Shoes;false;real-time;Generic;Maine Arizona;2020-07-20;false
5;functionalities;78601;90651;panel Avon;43047;F;Chair primary;HTTP;2020-07-19;Concrete Total;Fantastic Sausages;Auto Loan Account synthesize;true;override violet Savings Account;world-class Unbranded microchip;incubate;2020-07-19;false
6;Sleek Cotton Pants sky blue Soap;1431;22362;Administrator Executive Auto Loan Account;70332;M;Soft backing up blue;Arizona Director;2020-07-20;New Israeli Sheqel;secured line transitional;Mobility primary systematic;false;United States of America wireless;violet deposit USB;Engineer Grocery input;2020-07-19;false
7;Home Loan Account Micronesia;2846;57840;compressing;48792;F;Argentina static;Iowa;2020-07-19;transmit;Central firewall Representative;Reunion USB;true;Metal focus group;Music Games Future;programming;2020-07-20;true
8;Licensed Frozen Towels program Industrial;39357;23676;Data Markets;87883;M;Mobility;Frozen;2020-07-20;Supervisor card withdrawal;cross-platform Gateway Developer;Industrial synthesize;false;application;Home Loan Account paradigm;Investment Account;2020-07-20;true
9;copying SDD;50484;93068;Tasty Extensions Nicaragua;54111;M;Vietnam online Iowa;Village FTP;2020-07-19;Colorado Baby Ergonomic Soft Towels;Chips Chicken Congolese Franc;Credit Card Account;true;generating Tools California;JSON Berkshire;Human Intelligent;2020-07-20;true
10;Uruguay bandwidth Robust;64571;2107;ROI lime;94106;M;Mississippi;Electronics;2020-07-20;purple;Meadows Global New York;Quality FTP Plains;true;index Tokelau USB;Ergonomic Plastic Chicken;Chips copying Gabon;2020-07-20;true
