id;cspcod;catprocod;cspfamcod;csplib;cspnumtri;syscredat;syscrelog;sysmajdat;sysmajlog
1;deposit;Grove turquoise Plastic;Spring Investment Account Key;Plains salmon Cotton;69867;2020-07-20;workforce Sleek;2020-07-19;Liaison Automotive
2;mesh Barbados hacking;Bedfordshire;front-end dynamic;Ford Buckinghamshire Avon;18595;2020-07-20;Future Bedfordshire;2020-07-19;Kids
3;Baby redundant Security;Som;Money Market Account;optical;77578;2020-07-19;THX Tasty;2020-07-20;dynamic Iowa
4;virtual primary Credit Card Account;Licensed Steel Fish;auxiliary parsing Holy See (Vatican City State);India Synchronised Tasty;18986;2020-07-19;Equatorial Guinea Awesome Rubber Soap;2020-07-20;alarm
5;initiative;Home Loan Account Right-sized;deposit grow Investor;SMTP Bedfordshire Bike;79515;2020-07-19;Ridge;2020-07-19;web-enabled
6;deposit Director Handcrafted Plastic Fish;Syrian Arab Republic;firewall;Brazil Baby portal;44571;2020-07-20;proactive cross-platform Architect;2020-07-19;incentivize hierarchy
7;dedicated Pants;Chief Triple-buffered;Bike;Berkshire Portugal connect;74559;2020-07-19;Fresh Brazil;2020-07-20;Soft payment
8;Somoni;supply-chains hacking compressing;plum;Plastic;74355;2020-07-19;Identity;2020-07-19;magnetic
9;Central Turks and Caicos Islands Extended;database matrix product;Executive Chile;backing up Handcrafted Wooden Gloves;85782;2020-07-19;distributed maximize;2020-07-19;Tunnel
10;IB Chief;Investment Account repurpose cross-platform;Outdoors e-enable;Metal Savings Account Credit Card Account;37573;2020-07-20;user-centric Niger;2020-07-19;e-tailers
