id;tenpolcod;orgcod;typparpolcod;typorgcod;eveobs;orgart;orgnumtri;orgdatfin;orgnumtie;orgurlsim;orgurlcmp;orgtemannu;evetempub;syscredat;syscrelog;sysmajdat;sysmajlog;evelil;evelib;evelic;temvalcod;orgdatcre
1;aggregate Uganda;Credit Card Account;New Hampshire Bedfordshire Representative;bandwidth application;zero administration;Orchestrator;48129;2020-07-20;target Iceland Krona demand-driven;Soap alarm;deposit Rwanda Franc B2C;Tuna;card initiative;2020-07-20;monetize payment Unbranded Plastic Bacon;2020-07-20;Investment Account;Table Buckinghamshire IB;Island;Maine Computer Indiana;Research;2020-07-19
2;Toys synthesizing RAM;monitor;magenta Pants;Group extend Specialist;Salad system engine;Soap Down-sized auxiliary;96408;2020-07-19;Orchestrator SSL;Producer;Buckinghamshire Fully-configurable;Malaysian Ringgit RSS;paradigm withdrawal Pants;2020-07-20;calculating GB;2020-07-19;hacking firmware Division;European Monetary Unit (E.M.U.-6) seize red;Chief Refined Cotton Fish whiteboard;quantify;bluetooth;2020-07-19
3;JSON input;sensor;policy program;Frozen;well-modulated parse Berkshire;Arizona;79050;2020-07-20;Romania Universal system;deposit;Awesome clicks-and-mortar;systems;e-tailers Silver;2020-07-19;Pants paradigms task-force;2020-07-20;indexing Plastic;Cheese Forward;compressing Berkshire;payment parallelism;Handmade Metal Keyboard Fresh hacking;2020-07-19
4;uniform Wooden;transmitter analyzing;lavender Facilitator overriding;silver;Bike Mouse;Research;98855;2020-07-19;Louisiana Trail Indiana;robust Ville;US Dollar Lead;ROI hacking bypassing;24/7 auxiliary;2020-07-19;Tugrik orchestrate Guatemala;2020-07-19;synthesize;Cotton synthesize;Gorgeous Legacy;archive;Mobility Crossing Computers;2020-07-19
5;analyzer;Unbranded Steel Car Handmade Fresh Chicken;Assimilated Games;Credit Card Account;Licensed Plastic Hat;Phased moratorium Eritrea;90730;2020-07-19;Baby mobile;Architect;local area network;solution HTTP;Nigeria Computer COM;2020-07-19;knowledge base invoice withdrawal;2020-07-20;Ergonomic Wooden Chair;Moroccan Dirham Oregon;envisioneer Sausages;global Customer;Factors Small;2020-07-19
6;Practical Handmade;matrix navigate;Square bus;Indiana National;Consultant Berkshire New York;Wyoming bypass;49994;2020-07-19;Fantastic Granite Tuna;Oklahoma;Handmade Cotton Bike Soap Buckinghamshire;grey;AI;2020-07-19;Savings Account niches;2020-07-20;approach deploy;Albania;tan;Steel Executive;ROI Senior Dynamic;2020-07-20
7;Associate Investment Account override;capacitor;Seamless bandwidth Tennessee;Personal Loan Account;Kentucky Ergonomic;invoice payment Saint Barthelemy;97424;2020-07-19;Sausages fresh-thinking ROI;Uzbekistan Regional interface;PNG card B2C;Coordinator;Tuna Automotive;2020-07-20;Rustic Generic Cotton Shirt;2020-07-19;Usability white;Sleek Rubber Towels;Chicken;transmit bandwidth;Kids calculate;2020-07-19
8;Program;groupware Checking Account Object-based;International Small Concrete Sausages implement;navigating array;zero administration Checking Account;Serbian Dinar grow;92913;2020-07-19;Money Market Account Generic Triple-buffered;Licensed;California;Handcrafted Metal Soap architect;Sleek Soft Chicken;2020-07-19;Sausages Home Loan Account;2020-07-19;Credit Card Account;multi-state;digital Buckinghamshire Cotton;Principal primary;compress Money Market Account;2020-07-19
9;navigating;Solomon Islands Dollar Fresh Personal Loan Account;standardization;Rustic Concrete Soap TCP Implementation;Cross-platform;online;45010;2020-07-20;Walk Integrated Investment Account;transmitting;Kentucky;intermediate;maroon Uzbekistan Corporate;2020-07-20;withdrawal Pants Gorgeous Soft Keyboard;2020-07-20;New Mexico Consultant Nakfa;system engine lavender Technician;Australian Dollar Rubber Outdoors;parsing Djibouti Franc District;Electronics invoice;2020-07-19
10;Cambridgeshire;exploit;Hong Kong Dollar e-services;vortals Wisconsin;Money Market Account;secondary Specialist;93361;2020-07-19;visualize tertiary;explicit Brand Louisiana;compressing USB;Intelligent Orchestrator;South Dakota content;2020-07-20;SCSI withdrawal;2020-07-19;Minnesota Total withdrawal;Berkshire Automotive;Intelligent scalable;Inverse Russian Federation;generate static mobile;2020-07-20
