id;no_depot;sexe;nom;prenom;nuance;resultat_candidat;nuance_liste;libelle_liste;tete_liste;voix;voix_on_ins;voix_on_exp;sieges
1;payment Latvia Investment Account;F;Planner SMTP CFA Franc BCEAO;user-centric;hacking;invoice SMS Bedfordshire;Villages AI;Vermont auxiliary;Bolivar Fuerte withdrawal;87293;5128;1352;19372
2;Taiwan scale infrastructures;F;XSS Product;real-time Sports;interactive bypassing;throughput;leverage synthesize Refined;Liaison;turquoise;51190;57965;19872;51262
3;Buckinghamshire;M;Delaware Cayman Islands;synthesizing Savings Account Niger;Handcrafted;client-server Human;Generic Plastic Towels;logistical;Auto Loan Account Chair;54143;54562;33792;79859
4;Rustic Soft Computer;F;Pizza open architecture;Rustic Open-source;Intelligent;connecting Architect;Handcrafted violet;systematic;Branding;7944;4716;43456;32497
5;Visionary magnetic Manager;F;azure protocol knowledge user;evolve Functionality;Fantastic;leverage SAS;EXE Plastic hack;Decentralized;innovative Spurs;37629;72117;86961;71145
6;channels maroon Nebraska;F;Credit Card Account;Table International;compress regional deposit;Group virtual interfaces;Clothing;zero administration Handmade Rubber Pants;Morocco El Salvador Colon US Dollar;69840;79320;92461;5752
7;Cambridgeshire Chief Consultant;M;flexibility;next-generation;Factors;Generic Granite Cheese Data Zimbabwe Dollar;invoice;orchestrate XSS payment;Producer strategic;47619;8397;53998;54673
8;driver;M;transmitter Shoal Investment Account;Upgradable;Cambridgeshire;Identity Industrial;generate virtual Borders;monitoring quantify Savings Account;Orchestrator synthesize copying;35555;22396;46312;69171
9;discrete initiatives open-source;M;Home COM;Borders green;parsing;Configuration Checking Account moderator;Manager Argentine Peso;Alabama;Ranch;76596;48304;43698;65037
10;Bacon Proactive;M;Credit Card Account;Customer Forward withdrawal;Vision-oriented;content Small Frozen Chair;Garden leading-edge circuit;Home Loan Account;Cambridgeshire;57788;81655;2280;69524
